title; rank; date; artist; chart
PING PONG;34;06/10/2021;HyunA&DAWN;viral50
Light My Love;35;06/10/2021;Greta Van Fleet;viral50
this is how i learn to say no;36;06/10/2021;EMELINE;viral50
Somebody's Watching Me;37;06/10/2021;Rockwell;viral50
From Tha Back;38;06/10/2021;lil.eaarl, Huncho Da Rockstar;viral50
edamame (feat. Rich Brian);39;06/10/2021;bbno$;viral50
HOT DEMON B!TCHES NEAR U ! ! !;40;06/10/2021;CORPSE, Night Lovell;viral50
Spooky Scary Skeletons - Undead Tombstone Remix;41;06/10/2021;Andrew Gold;viral50
Sharing Locations (feat. Lil Baby & Lil Durk);42;06/10/2021;Meek Mill;viral50
STREETSX VACATION BIBLE SCHOOL;43;06/10/2021;XXKATUSJINSUX;viral50
Feel Like God;44;06/10/2021;gazzzy, framed;viral50
love nwantiti (feat. ElGrande Toto) - North African Remix;45;06/10/2021;CKay, ElGrandeToto;viral50
we fell in love in october;46;06/10/2021;girl in red;viral50
family ties (with Kendrick Lamar);47;06/10/2021;Baby Keem;viral50
masquerade;48;06/10/2021;Siouxxie;viral50
range brothers (with Kendrick Lamar);49;06/10/2021;Baby Keem;viral50
Fancy Like;50;06/10/2021;Walker Hayes;viral50
The Red Means I Love You;1;07/10/2021;Madds Buckley;viral50
love nwantiti (ah ah ah);2;07/10/2021;CKay;viral50
Está Dañada;3;07/10/2021;Ivan Cornejo;viral50
love nwantiti (feat. Dj Yo! & AX'EL) - Remix;4;07/10/2021;CKay;viral50
this is what falling in love feels like;5;07/10/2021;JVKE;viral50
Do It To It;6;07/10/2021;ACRAZE, Cherish;viral50
MONEY;7;07/10/2021;LISA;viral50
Two Moons;8;07/10/2021;BoyWithUke;viral50
Have Mercy;9;07/10/2021;Chlöe;viral50
In My Mind;10;07/10/2021;Lyn Lapid;viral50
Meet Me At Our Spot;11;07/10/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
Jugaste y Sufrí;12;07/10/2021;Eslabon Armado, DannyLux;viral50
ONLY;13;07/10/2021;LeeHi;viral50
Silk Chiffon (feat. Phoebe Bridgers);14;07/10/2021;MUNA;viral50
Life Goes On;15;07/10/2021;Oliver Tree;viral50
Monster Mash;16;07/10/2021;"Bobby ""Boris"" Pickett, The Crypt-Kickers";viral50
Bad Day;17;07/10/2021;Justus Bennetts;viral50
STEREOTYPE;18;07/10/2021;STAYC;viral50
Cold Heart - PNAU Remix;19;07/10/2021;Elton John, Dua Lipa;viral50
breadwinner;20;07/10/2021;Kacey Musgraves;viral50
This Is Halloween;21;07/10/2021;Disney Characters;viral50
masquerade;22;07/10/2021;Siouxxie;viral50
Chop Chop Slide;23;07/10/2021;Insane Clown Posse;viral50
Linda;24;07/10/2021;Tokischa, ROSALÍA;viral50
Gët Busy;25;07/10/2021;Yeat;viral50
Pepas;26;07/10/2021;Farruko;viral50
Close Eyes;27;07/10/2021;DVRST;viral50
In My Room;28;07/10/2021;Insane Clown Posse;viral50
Something About You;29;07/10/2021;Eyedress, Dent May;viral50
Somebody's Watching Me;30;07/10/2021;Rockwell;viral50
I GUESS I'M IN LOVE;31;07/10/2021;Clinton Kane;viral50
Shivers;32;07/10/2021;Ed Sheeran;viral50
Nostálgico;33;07/10/2021;Rvssian, Rauw Alejandro, Chris Brown;viral50
Light My Love;34;07/10/2021;Greta Van Fleet;viral50
LALISA;35;07/10/2021;LISA;viral50
this is how i learn to say no;36;07/10/2021;EMELINE;viral50
PING PONG;37;07/10/2021;HyunA&DAWN;viral50
Spooky Scary Skeletons - Undead Tombstone Remix;38;07/10/2021;Andrew Gold;viral50
From Tha Back;39;07/10/2021;lil.eaarl, Huncho Da Rockstar;viral50
edamame (feat. Rich Brian);40;07/10/2021;bbno$;viral50
Sharing Locations (feat. Lil Baby & Lil Durk);41;07/10/2021;Meek Mill;viral50
STREETSX VACATION BIBLE SCHOOL;42;07/10/2021;XXKATUSJINSUX;viral50
HOT DEMON B!TCHES NEAR U ! ! !;43;07/10/2021;CORPSE, Night Lovell;viral50
Feel Like God;44;07/10/2021;gazzzy, framed;viral50
we fell in love in october;45;07/10/2021;girl in red;viral50
love nwantiti (feat. ElGrande Toto) - North African Remix;46;07/10/2021;CKay, ElGrandeToto;viral50
Drunk And Nasty (feat. Sharc);47;07/10/2021;Pi’erre Bourne;viral50
Lay It Down;48;07/10/2021;benu;viral50
family ties (with Kendrick Lamar);49;07/10/2021;Baby Keem;viral50
Fancy Like;50;07/10/2021;Walker Hayes;viral50
The Red Means I Love You;1;08/10/2021;Madds Buckley;viral50
Está Dañada;2;08/10/2021;Ivan Cornejo;viral50
love nwantiti (ah ah ah);3;08/10/2021;CKay;viral50
love nwantiti (feat. Dj Yo! & AX'EL) - Remix;4;08/10/2021;CKay;viral50
Do It To It;5;08/10/2021;ACRAZE, Cherish;viral50
this is what falling in love feels like;6;08/10/2021;JVKE;viral50
MONEY;7;08/10/2021;LISA;viral50
Two Moons;8;08/10/2021;BoyWithUke;viral50
Have Mercy;9;08/10/2021;Chlöe;viral50
In My Mind;10;08/10/2021;Lyn Lapid;viral50
Meet Me At Our Spot;11;08/10/2021;THE ANXIETY, WILLOW, Tyler Cole;viral50
Jugaste y Sufrí;12;08/10/2021;Eslabon Armado, DannyLux;viral50
ONLY;13;08/10/2021;LeeHi;viral50
Silk Chiffon (feat. Phoebe Bridgers);14;08/10/2021;MUNA;viral50
Life Goes On;15;08/10/2021;Oliver Tree;viral50
masquerade;16;08/10/2021;Siouxxie;viral50
